an3.1:0.3|Bhayasutta |an3.1
sn48.54:0.3|Padasutta |sn48.54
sn48.55:0.3|Sārasutta |sn48.55
sn48.56:0.3|Patiṭṭhitasutta |sn48.56
sn48.57:0.3|Sahampatibrahmasutta |sn48.57
sn48.58:0.3|Sūkarakhatasutta |sn48.58
sn48.59:0.3|Paṭhamauppādasutta |sn48.59
sn48.60:0.3|Dutiyauppādasutta |sn48.60
sn48.61:0.3|Saṁyojanasutta |sn48.61
sn48.62:0.3|Anusayasutta |sn48.62
sn48.63:0.3|Pariññāsutta |sn48.63
sn48.64:0.3|Āsavakkhayasutta |sn48.64
sn48.65:0.3|Paṭhamaphalasutta |sn48.65
sn48.66:0.3|Dutiyaphalasutta |sn48.66
sn48.67:0.3|Paṭhamarukkhasutta |sn48.67
sn48.68:0.3|Dutiyarukkhasutta |sn48.68
sn48.69:0.3|Tatiyarukkhasutta |sn48.69
sn48.70:0.3|Catuttharukkhasutta |sn48.70
sn48.71-82:0.3|Pācīnādisutta |sn48.71-82
sn48.115-124:0.3|Oghādisutta |sn48.115-124
sn48.125-136:0.3|Punapācīnādisutta |sn48.125-136
sn48.169-178:0.3|punaoghādisutta |sn48.169-178
sn49.1-12:0.3|Pācīnādisutta |sn49.1-12
sn49.23-34:0.3|Balakaraṇīyādisutta |sn49.23-34
sn49.35-44:0.3|Esanādisuttadasaka |sn49.35-44
sn49.45-54:0.3|Oghādisutta |sn49.45-54
sn50.1-12:0.3|Balādisutta |sn50.1-12
sn50.45-54:0.3|Oghādisutta |sn50.45-54
sn50.55-66:0.3|Pācīnādisutta |sn50.55-66
sn50.89-98:0.3|Punaesanādisutta |sn50.89-98
sn50.99-108:0.3|Punaoghādisutta |sn50.99-108
sn51.1:0.3|Apārasutta |sn51.1
sn51.2:0.3|Viraddhasutta |sn51.2
sn51.3:0.3|Ariyasutta |sn51.3
sn51.4:0.3|Nibbidāsutta |sn51.4
sn51.5:0.3|Iddhipadesasutta |sn51.5
sn51.6:0.3|Samattasutta |sn51.6
sn51.7:0.3|Bhikkhusutta |sn51.7
sn51.8:0.3|Buddhasutta |sn51.8
sn51.9:0.3|Ñāṇasutta |sn51.9
sn51.10:0.3|Cetiyasutta |sn51.10
sn51.11:0.3|Pubbasutta |sn51.11
sn51.12:0.3|Mahapphalasutta |sn51.12
sn51.13:0.3|Chandasamādhisutta |sn51.13
sn51.14:0.3|Moggallānasutta |sn51.14
sn51.15:0.3|Uṇṇābhabrāhmaṇasutta |sn51.15
sn51.16:0.3|Paṭhamasamaṇabrāhmaṇasutta |sn51.16
sn51.17:0.3|Dutiyasamaṇabrāhmaṇasutta |sn51.17
sn51.18:0.3|Bhikkhusutta |sn51.18
sn51.19:0.3|Iddhādidesanāsutta |sn51.19
sn51.20:0.3|Vibhaṅgasutta |sn51.20
sn51.21:0.3|Maggasutta |sn51.21
sn51.22:0.3|Ayoguḷasutta |sn51.22
sn51.23:0.3|Bhikkhusutta |sn51.23
sn51.24:0.3|Suddhikasutta |sn51.24
sn51.25:0.3|Paṭhamaphalasutta |sn51.25
sn51.26:0.3|Dutiyaphalasutta |sn51.26
sn51.27:0.3|Paṭhamaānandasutta |sn51.27
sn51.28:0.3|Dutiyaānandasutta |sn51.28
sn51.29:0.3|Paṭhamabhikkhusutta |sn51.29
sn51.30:0.3|Dutiyabhikkhusutta |sn51.30
sn51.31:0.3|Moggallānasutta |sn51.31
sn51.32:0.3|Tathāgatasutta |sn51.32
sn51.33-44:0.3|Gaṅgānadīādisutta |sn51.33-44
sn51.77-86:0.3|Oghādisutta |sn51.77-86
sn52.1:0.3|Paṭhamarahogatasutta |sn52.1
sn52.2:0.3|Dutiyarahogatasutta |sn52.2
sn52.3:0.3|Sutanusutta |sn52.3
sn52.4:0.3|Paṭhamakaṇḍakīsutta |sn52.4
sn52.5:0.3|Dutiyakaṇḍakīsutta |sn52.5
sn52.6:0.3|Tatiyakaṇḍakīsutta |sn52.6
sn52.7:0.3|Taṇhākkhayasutta |sn52.7
sn52.8:0.3|Salaḷāgārasutta |sn52.8
sn52.9:0.3|Ambapālivanasutta |sn52.9
sn52.10:0.3|Bāḷhagilānasutta |sn52.10
sn52.11:0.3|Kappasahassasutta |sn52.11
sn52.12:0.3|Iddhividhasutta |sn52.12
sn52.13:0.3|Dibbasotasutta |sn52.13
sn52.14:0.3|Cetopariyasutta |sn52.14
sn52.15:0.3|Ṭhānasutta |sn52.15
sn52.16:0.3|Kammasamādānasutta |sn52.16
sn52.17:0.3|Sabbatthagāminisutta |sn52.17
sn52.18:0.3|Nānādhātusutta |sn52.18
sn52.19:0.3|Nānādhimuttisutta |sn52.19
sn52.20:0.3|Indriyaparopariyattasutta |sn52.20
sn52.21:0.3|Jhānādisutta |sn52.21
sn52.22:0.3|Pubbenivāsasutta |sn52.22
sn52.23:0.3|Dibbacakkhusutta |sn52.23
sn52.24:0.3|Āsavakkhayasutta |sn52.24
sn53.1-12:0.3|Jhānādisutta |sn53.1-12
sn53.45-54:0.3|Oghādisutta |sn53.45-54
sn54.1:0.3|Ekadhammasutta |sn54.1
sn54.2:0.3|Bojjhaṅgasutta |sn54.2
sn54.3:0.3|Suddhikasutta |sn54.3
sn54.4:0.3|Paṭhamaphalasutta |sn54.4
sn54.5:0.3|Dutiyaphalasutta |sn54.5
sn54.6:0.3|Ariṭṭhasutta |sn54.6
sn54.7:0.3|Mahākappinasutta |sn54.7
sn54.8:0.3|Padīpopamasutta |sn54.8
sn54.9:0.3|Vesālīsutta |sn54.9
sn54.10:0.3|Kimilasutta |sn54.10
sn54.11:0.3|Icchānaṅgalasutta |sn54.11
sn54.12:0.3|Kaṅkheyyasutta |sn54.12
sn54.13:0.3|Paṭhamaānandasutta |sn54.13
sn54.14:0.3|Dutiyaānandasutta |sn54.14
sn54.15:0.3|Paṭhamabhikkhusutta |sn54.15
sn54.16:0.3|Dutiyabhikkhusutta |sn54.16
sn54.17:0.3|Saṁyojanappahānasutta |sn54.17
sn54.18:0.3|Anusayasamugghātasutta |sn54.18
sn54.19:0.3|Addhānapariññāsutta |sn54.19
sn54.20:0.3|Āsavakkhayasutta |sn54.20
sn55.1:0.3|Cakkavattirājasutta |sn55.1
sn55.2:0.3|Brahmacariyogadhasutta |sn55.2
sn55.3:0.3|Dīghāvuupāsakasutta |sn55.3
sn55.4:0.3|Paṭhamasāriputtasutta |sn55.4
sn55.5:0.3|Dutiyasāriputtasutta |sn55.5
sn55.6:0.3|Thapatisutta |sn55.6
sn55.7:0.3|Veḷudvāreyyasutta |sn55.7
sn55.8:0.3|Paṭhamagiñjakāvasathasutta |sn55.8
sn55.9:0.3|Dutiyagiñjakāvasathasutta |sn55.9
sn55.10:0.3|Tatiyagiñjakāvasathasutta |sn55.10
sn55.11:0.3|Sahassabhikkhunisaṅghasutta |sn55.11
sn55.12:0.3|Brāhmaṇasutta |sn55.12
sn55.13:0.3|Ānandattherasutta |sn55.13
sn55.14:0.3|Duggatibhayasutta |sn55.14
sn55.15:0.3|Duggativinipātabhayasutta |sn55.15
sn55.16:0.3|Paṭhamamittāmaccasutta |sn55.16
sn55.17:0.3|Dutiyamittāmaccasutta |sn55.17
sn55.18:0.3|Paṭhamadevacārikasutta |sn55.18
sn55.19:0.3|Dutiyadevacārikasutta |sn55.19
sn55.20:0.3|Tatiyadevacārikasutta |sn55.20
sn55.21:0.3|Paṭhamamahānāmasutta |sn55.21
sn55.22:0.3|Dutiyamahānāmasutta |sn55.22
sn55.23:0.3|Godhasakkasutta |sn55.23
sn55.24:0.3|Paṭhamasaraṇānisakkasutta |sn55.24
sn55.25:0.3|Dutiyasaraṇānisakkasutta |sn55.25
sn55.26:0.3|Paṭhamaanāthapiṇḍikasutta |sn55.26
sn55.27:0.3|Dutiyaanāthapiṇḍikasutta |sn55.27
sn55.28:0.3|Paṭhamabhayaverūpasantasutta |sn55.28
sn55.29:0.3|Dutiyabhayaverūpasantasutta |sn55.29
sn55.30:0.3|Nandakalicchavisutta |sn55.30
sn55.31:0.3|Paṭhamapuññābhisandasutta |sn55.31
sn55.32:0.3|Dutiyapuññābhisandasutta |sn55.32
sn55.33:0.3|Tatiyapuññābhisandasutta |sn55.33
sn55.34:0.3|Paṭhamadevapadasutta |sn55.34
sn55.35:0.3|Dutiyadevapadasutta |sn55.35
sn55.36:0.3|Devasabhāgatasutta |sn55.36
sn55.37:0.3|Mahānāmasutta |sn55.37
sn55.38:0.3|Vassasutta |sn55.38
sn55.39:0.3|Kāḷigodhasutta |sn55.39
sn55.40:0.3|Nandiyasakkasutta |sn55.40
sn55.41:0.3|Paṭhamaabhisandasutta |sn55.41
sn55.42:0.3|Dutiyaabhisandasutta |sn55.42
sn55.43:0.3|Tatiyaabhisandasutta |sn55.43
sn55.44:0.3|Paṭhamamahaddhanasutta |sn55.44
sn55.45:0.3|Dutiyamahaddhanasutta |sn55.45
sn55.46:0.3|Suddhakasutta |sn55.46
sn55.47:0.3|Nandiyasutta |sn55.47
sn55.48:0.3|Bhaddiyasutta |sn55.48
sn55.49:0.3|Mahānāmasutta |sn55.49
sn55.50:0.3|Aṅgasutta |sn55.50
sn55.51:0.3|Sagāthakasutta |sn55.51
sn55.52:0.3|Vassaṁvutthasutta |sn55.52
sn55.53:0.3|Dhammadinnasutta |sn55.53
sn55.54:0.3|Gilānasutta |sn55.54
sn55.55:0.3|Sotāpattiphalasutta |sn55.55
sn55.56:0.3|Sakadāgāmiphalasutta |sn55.56
sn55.57:0.3|Anāgāmiphalasutta |sn55.57
sn55.58:0.3|Arahattaphalasutta |sn55.58
sn55.59:0.3|Paññāpaṭilābhasutta |sn55.59
sn55.60:0.3|Paññāvuddhisutta |sn55.60
sn55.61:0.3|Paññāvepullasutta |sn55.61
sn55.62:0.3|Mahāpaññāsutta |sn55.62
sn55.63:0.3|Puthupaññāsutta |sn55.63
sn55.64:0.3|Vipulapaññāsutta |sn55.64
sn55.65:0.3|Gambhīrapaññāsutta |sn55.65
sn55.66:0.3|Appamattapaññāsutta |sn55.66
sn55.67:0.3|Bhūripaññāsutta |sn55.67
sn55.68:0.3|Paññābāhullasutta |sn55.68
sn55.69:0.3|Sīghapaññāsutta |sn55.69
sn55.70:0.3|Lahupaññāsutta |sn55.70
sn55.71:0.3|Hāsapaññāsutta |sn55.71
sn55.72:0.3|Javanapaññāsutta |sn55.72
sn55.73:0.3|Tikkhapaññāsutta |sn55.73
sn55.74:0.3|Nibbedhikapaññāsutta |sn55.74
sn56.1:0.3|Samādhisutta |sn56.1
sn56.2:0.3|Paṭisallānasutta |sn56.2
sn56.3:0.3|Paṭhamakulaputtasutta |sn56.3
sn56.4:0.3|Dutiyakulaputtasutta |sn56.4
sn56.5:0.3|Paṭhamasamaṇabrāhmaṇasutta |sn56.5
sn56.6:0.3|Dutiyasamaṇabrāhmaṇasutta |sn56.6
sn56.7:0.3|Vitakkasutta |sn56.7
sn56.8:0.3|Cintasutta |sn56.8
sn56.9:0.3|Viggāhikakathāsutta |sn56.9
sn56.10:0.3|Tiracchānakathāsutta |sn56.10
sn56.11:0.3|Dhammacakkappavattanasutta |sn56.11
sn56.12:0.3|Tathāgatasutta |sn56.12
sn56.13:0.3|Khandhasutta |sn56.13
sn56.14:0.3|Ajjhattikāyatanasutta |sn56.14
sn56.15:0.3|Paṭhamadhāraṇasutta |sn56.15
sn56.16:0.3|Dutiyadhāraṇasutta |sn56.16
sn56.17:0.3|Avijjāsutta |sn56.17
sn56.18:0.3|Vijjāsutta |sn56.18
sn56.19:0.3|Saṅkāsanasutta |sn56.19
sn56.20:0.3|Tathasutta |sn56.20
sn56.21:0.3|Paṭhamakoṭigāmasutta |sn56.21
sn56.22:0.3|Dutiyakoṭigāmasutta |sn56.22
sn56.23:0.3|Sammāsambuddhasutta |sn56.23
sn56.24:0.3|Arahantasutta |sn56.24
sn56.25:0.3|Āsavakkhayasutta |sn56.25
sn56.26:0.3|Mittasutta |sn56.26
sn56.27:0.3|Tathasutta |sn56.27
sn56.28:0.3|Lokasutta |sn56.28
sn56.29:0.3|Pariññeyyasutta |sn56.29
sn56.30:0.3|Gavampatisutta |sn56.30
sn56.31:0.3|Sīsapāvanasutta |sn56.31
sn56.32:0.3|Khadirapattasutta |sn56.32
sn56.33:0.3|Daṇḍasutta |sn56.33
sn56.34:0.3|Celasutta |sn56.34
sn56.35:0.3|Sattisatasutta |sn56.35
sn56.36:0.3|Pāṇasutta |sn56.36
sn56.37:0.3|Paṭhamasūriyasutta |sn56.37
sn56.38:0.3|Dutiyasūriyasutta |sn56.38
sn56.39:0.3|Indakhīlasutta |sn56.39
sn56.40:0.3|Vādatthikasutta |sn56.40
sn56.41:0.3|Lokacintāsutta |sn56.41
sn56.42:0.3|Papātasutta |sn56.42
sn56.43:0.3|Mahāpariḷāhasutta |sn56.43
sn56.44:0.3|Kūṭāgārasutta |sn56.44
sn56.45:0.3|Vālasutta |sn56.45
sn56.46:0.3|Andhakārasutta |sn56.46
sn56.47:0.3|Paṭhamachiggaḷayugasutta |sn56.47
sn56.48:0.3|Dutiyachiggaḷayugasutta |sn56.48
sn56.49:0.3|Paṭhamasinerupabbatarājasutta |sn56.49
sn56.50:0.3|Dutiyasinerupabbatarājasutta |sn56.50
sn56.51:0.3|Nakhasikhāsutta |sn56.51
sn56.52:0.3|Pokkharaṇīsutta |sn56.52
sn56.53:0.3|Paṭhamasambhejjasutta |sn56.53
sn56.54:0.3|Dutiyasambhejjasutta |sn56.54
sn56.55:0.3|Paṭhamamahāpathavīsutta |sn56.55
sn56.56:0.3|Dutiyamahāpathavīsutta |sn56.56
sn56.57:0.3|Paṭhamamahāsamuddasutta |sn56.57
sn56.58:0.3|Dutiyamahāsamuddasutta |sn56.58
sn56.59:0.3|Paṭhamapabbatūpamasutta |sn56.59
sn56.60:0.3|Dutiyapabbatūpamasutta |sn56.60
sn56.61:0.3|Aññatrasutta |sn56.61
sn56.62:0.3|Paccantasutta |sn56.62
sn56.63:0.3|Paññāsutta |sn56.63
sn56.64:0.3|Surāmerayasutta |sn56.64
sn56.65:0.3|Odakasutta |sn56.65
sn56.66:0.3|Matteyyasutta |sn56.66
sn56.67:0.3|Petteyyasutta |sn56.67
sn56.68:0.3|Sāmaññasutta |sn56.68
sn56.69:0.3|Brahmaññasutta |sn56.69
sn56.70:0.3|Pacāyikasutta |sn56.70
sn56.71:0.3|Pāṇātipātasutta |sn56.71
sn56.72:0.3|Adinnādānasutta |sn56.72
sn56.73:0.3|Kāmesumicchācārasutta |sn56.73
sn56.74:0.3|Musāvādasutta |sn56.74
sn56.75:0.3|Pesuññasutta |sn56.75
sn56.76:0.3|Pharusavācāsutta |sn56.76
sn56.77:0.3|Samphappalāpasutta |sn56.77
sn56.78:0.3|Bījagāmasutta |sn56.78
sn56.79:0.3|Vikālabhojanasutta |sn56.79
sn56.80:0.3|Gandhavilepanasutta |sn56.80
sn56.81:0.3|Naccagītasutta |sn56.81
sn56.82:0.3|Uccāsayanasutta |sn56.82
sn56.83:0.3|Jātarūparajatasutta |sn56.83
sn56.84:0.3|Āmakadhaññasutta |sn56.84
sn56.85:0.3|Āmakamaṁsasutta |sn56.85
sn56.86:0.3|Kumārikasutta |sn56.86
sn56.87:0.3|Dāsidāsasutta |sn56.87
sn56.88:0.3|Ajeḷakasutta |sn56.88
sn56.89:0.3|Kukkuṭasūkarasutta |sn56.89
sn56.90:0.3|Hatthigavassasutta |sn56.90
sn56.91:0.3|Khettavatthusutta |sn56.91
sn56.92:0.3|Kayavikkayasutta |sn56.92
sn56.93:0.3|Dūteyyasutta |sn56.93
sn56.94:0.3|Tulākūṭasutta |sn56.94
sn56.95:0.3|Ukkoṭanasutta |sn56.95
sn56.96-101:0.3|Chedanādisutta |sn56.96-101
sn56.102:0.3|Manussacutinirayasutta |sn56.102
sn56.103:0.3|Manussacutitiracchānasutta |sn56.103
sn56.104:0.3|Manussacutipettivisayasutta |sn56.104
sn56.105-107:0.3|Manussacutidevanirayādisutta |sn56.105-107
sn56.108-110:0.3|Devacutinirayādisutta |sn56.108-110
sn56.111-113:0.3|Devamanussanirayādisutta |sn56.111-113
sn56.114-116:0.3|Nirayamanussanirayādisutta |sn56.114-116
sn56.117-119:0.3|Nirayadevanirayādisutta |sn56.117-119
sn56.120-122:0.3|Tiracchānamanussanirayādisutta |sn56.120-122
sn56.123-125:0.3|Tiracchānadevanirayādisutta |sn56.123-125
sn56.126-128:0.3|Pettimanussanirayādisutta |sn56.126-128
sn56.129-130:0.3|Pettidevanirayādisutta |sn56.129-130
sn56.131:0.3|Pettidevapettivisayasutta |sn56.131
mn1:0.2|Mūlapariyāyasutta |mn1
mn2:0.2|Sabbāsavasutta |mn2
mn3:0.2|Dhammadāyādasutta |mn3
mn4:0.2|Bhayabheravasutta |mn4
mn5:0.2|Anaṅgaṇasutta |mn5
mn6:0.2|Ākaṅkheyyasutta |mn6
mn7:0.2|Vatthasutta |mn7
mn8:0.2|Sallekhasutta |mn8
mn9:0.2|Sammādiṭṭhisutta |mn9
mn10:0.2|Satipaṭṭhānasutta |mn10
mn11:0.2|Cūḷasīhanādasutta |mn11
mn12:0.2|Mahāsīhanādasutta |mn12
mn13:0.2|Mahādukkhakkhandhasutta |mn13
mn14:0.2|Cūḷadukkhakkhandhasutta |mn14
mn15:0.2|Anumānasutta |mn15
mn16:0.2|Cetokhilasutta |mn16
mn17:0.2|Vanapatthasutta |mn17
mn18:0.2|Madhupiṇḍikasutta |mn18
mn19:0.2|Dvedhāvitakkasutta |mn19
mn20:0.2|Vitakkasaṇṭhānasutta |mn20
mn21:0.2|Kakacūpamasutta |mn21
mn22:0.2|Alagaddūpamasutta |mn22
mn23:0.2|Vammikasutta |mn23
mn24:0.2|Rathavinītasutta |mn24
mn25:0.2|Nivāpasutta |mn25
mn26:0.2|Pāsarāsisutta |mn26
mn27:0.2|Cūḷahatthipadopamasutta |mn27
mn28:0.2|Mahāhatthipadopamasutta |mn28
mn29:0.2|Mahāsāropamasutta |mn29
mn30:0.2|Cūḷasāropamasutta |mn30
mn31:0.2|Cūḷagosiṅgasutta |mn31
mn32:0.2|Mahāgosiṅgasutta |mn32
mn33:0.2|Mahāgopālakasutta |mn33
mn34:0.2|Cūḷagopālakasutta |mn34
mn35:0.2|Cūḷasaccakasutta |mn35
mn36:0.2|Mahāsaccakasutta |mn36
mn37:0.2|Cūḷataṇhāsaṅkhayasutta |mn37
mn38:0.2|Mahātaṇhāsaṅkhayasutta |mn38
mn39:0.2|Mahāassapurasutta |mn39
mn40:0.2|Cūḷaassapurasutta |mn40
mn41:0.2|Sāleyyakasutta |mn41
mn42:0.2|Verañjakasutta |mn42
mn43:0.2|Mahāvedallasutta |mn43
mn44:0.2|Cūḷavedallasutta |mn44
mn45:0.2|Cūḷadhammasamādānasutta |mn45
mn46:0.2|Mahādhammasamādānasutta |mn46
mn47:0.2|Vīmaṁsakasutta |mn47
mn48:0.2|Kosambiyasutta |mn48
mn49:0.2|Brahmanimantanikasutta |mn49
mn50:0.2|Māratajjanīyasutta |mn50
mn51:0.2|Kandarakasutta |mn51
mn52:0.2|Aṭṭhakanāgarasutta |mn52
mn53:0.2|Sekhasutta |mn53
mn54:0.2|Potaliyasutta |mn54
mn55:0.2|Jīvakasutta |mn55
mn56:0.2|Upālisutta |mn56
mn57:0.2|Kukkuravatikasutta |mn57
mn58:0.2|Abhayarājakumārasutta |mn58
mn59:0.2|Bahuvedanīyasutta |mn59
mn60:0.2|Apaṇṇakasutta |mn60
mn61:0.2|Ambalaṭṭhikarāhulovādasutta |mn61
mn62:0.2|Mahārāhulovādasutta |mn62
mn63:0.2|Cūḷamālukyasutta |mn63
mn64:0.2|Mahāmālukyasutta |mn64
mn65:0.2|Bhaddālisutta |mn65
mn66:0.2|Laṭukikopamasutta |mn66
mn67:0.2|Cātumasutta |mn67
mn68:0.2|Naḷakapānasutta |mn68
mn69:0.2|Goliyānisutta |mn69
mn70:0.2|Kīṭāgirisutta |mn70
mn71:0.2|Tevijjavacchasutta |mn71
mn72:0.2|Aggivacchasutta |mn72
mn73:0.2|Mahāvacchasutta |mn73
mn74:0.2|Dīghanakhasutta |mn74
mn75:0.2|Māgaṇḍiyasutta |mn75
mn76:0.2|Sandakasutta |mn76
mn77:0.2|Mahāsakuludāyisutta |mn77
mn78:0.2|Samaṇamuṇḍikasutta |mn78
mn79:0.2|Cūḷasakuludāyisutta |mn79
mn80:0.2|Vekhanasasutta |mn80
mn81:0.2|Ghaṭikārasutta |mn81
mn82:0.2|Raṭṭhapālasutta |mn82
mn83:0.2|Maghadevasutta |mn83
mn84:0.2|Madhurasutta |mn84
mn85:0.2|Bodhirājakumārasutta |mn85
mn86:0.2|Aṅgulimālasutta |mn86
mn87:0.2|Piyajātikasutta |mn87
mn88:0.2|Bāhitikasutta |mn88
mn89:0.2|Dhammacetiyasutta |mn89
mn90:0.2|Kaṇṇakatthalasutta |mn90
mn91:0.2|Brahmāyusutta |mn91
mn92:0.2|Selasutta |mn92
mn93:0.2|Assalāyanasutta |mn93
mn94:0.2|Ghoṭamukhasutta |mn94
mn95:0.2|Caṅkīsutta |mn95
mn96:0.2|Esukārīsutta |mn96
mn97:0.2|Dhanañjānisutta |mn97
mn98:0.2|Vāseṭṭhasutta |mn98
mn99:0.2|Subhasutta |mn99
mn100:0.2|Saṅgāravasutta |mn100
mn101:0.2|Devadahasutta |mn101
mn102:0.2|Pañcattayasutta |mn102
mn103:0.2|Kintisutta |mn103
mn104:0.2|Sāmagāmasutta |mn104
mn105:0.2|Sunakkhattasutta |mn105
mn106:0.2|Āneñjasappāyasutta |mn106
mn107:0.2|Gaṇakamoggallānasutta |mn107
mn108:0.2|Gopakamoggallānasutta |mn108
mn109:0.2|Mahāpuṇṇamasutta |mn109
mn110:0.2|Cūḷapuṇṇamasutta |mn110
mn111:0.2|Anupadasutta |mn111
mn112:0.2|Chabbisodhanasutta |mn112
mn113:0.2|Sappurisasutta |mn113
mn114:0.2|Sevitabbāsevitabbasutta |mn114
mn115:0.2|Bahudhātukasutta |mn115
mn116:0.2|Isigilisutta |mn116
mn117:0.2|Mahācattārīsakasutta |mn117
mn118:0.2|Ānāpānassatisutta |mn118
mn119:0.2|Kāyagatāsatisutta |mn119
mn120:0.2|Saṅkhārupapattisutta |mn120
mn121:0.2|Cūḷasuññatasutta |mn121
mn122:0.2|Mahāsuññatasutta |mn122
mn123:0.2|Acchariyaabbhutasutta |mn123
mn124:0.2|Bākulasutta |mn124
mn125:0.2|Dantabhūmisutta |mn125
mn126:0.2|Bhūmijasutta |mn126
mn127:0.2|Anuruddhasutta |mn127
mn128:0.2|Upakkilesasutta |mn128
mn129:0.2|Bālapaṇḍitasutta |mn129
mn130:0.2|Devadūtasutta |mn130
mn131:0.2|Bhaddekarattasutta |mn131
mn132:0.2|Ānandabhaddekarattasutta |mn132
mn133:0.2|Mahākaccānabhaddekarattasutta |mn133
mn134:0.2|Lomasakaṅgiyabhaddekarattasutta |mn134
mn135:0.2|Cūḷakammavibhaṅgasutta |mn135
mn136:0.2|Mahākammavibhaṅgasutta |mn136
mn137:0.2|Saḷāyatanavibhaṅgasutta |mn137
mn138:0.2|Uddesavibhaṅgasutta |mn138
mn139:0.2|Araṇavibhaṅgasutta |mn139
mn140:0.2|Dhātuvibhaṅgasutta |mn140
mn141:0.2|Saccavibhaṅgasutta |mn141
mn142:0.2|Dakkhiṇāvibhaṅgasutta |mn142
mn143:0.2|Anāthapiṇḍikovādasutta |mn143
mn144:0.2|Channovādasutta |mn144
mn145:0.2|Puṇṇovādasutta |mn145
mn146:0.2|Nandakovādasutta |mn146
mn147:0.2|Cūḷarāhulovādasutta |mn147
mn148:0.2|Chachakkasutta |mn148
mn149:0.2|Mahāsaḷāyatanikasutta |mn149
mn150:0.2|Nagaravindeyyasutta |mn150
mn151:0.2|Piṇḍapātapārisuddhisutta |mn151
mn152:0.2|Indriyabhāvanāsutta |mn152
dn1:0.2|Brahmajālasutta |dn1
dn2:0.2|Sāmaññaphalasutta |dn2
dn3:0.2|Ambaṭṭhasutta |dn3
dn4:0.2|Soṇadaṇḍasutta |dn4
dn5:0.2|Kūṭadantasutta |dn5
dn6:0.2|Mahālisutta |dn6
dn7:0.2|Jāliyasutta |dn7
dn8:0.2|Mahāsīhanādasutta |dn8
dn9:0.2|Poṭṭhapādasutta |dn9
dn10:0.2|Subhasutta |dn10
dn11:0.2|Kevaṭṭasutta |dn11
dn12:0.2|Lohiccasutta |dn12
dn13:0.2|Tevijjasutta |dn13
dn14:0.2|Mahāpadānasutta |dn14
dn15:0.2|Mahānidānasutta |dn15
dn16:0.2|Mahāparinibbānasutta |dn16
dn17:0.2|Mahāsudassanasutta |dn17
dn18:0.2|Janavasabhasutta |dn18
dn19:0.2|Mahāgovindasutta |dn19
dn20:0.2|Mahāsamayasutta |dn20
dn21:0.2|Sakkapañhasutta |dn21
dn22:0.2|Mahāsatipaṭṭhānasutta |dn22
dn23:0.2|Pāyāsisutta |dn23
dn24:0.2|Pāthikasutta |dn24
dn25:0.2|Udumbarikasutta |dn25
dn26:0.2|Cakkavattisutta |dn26
dn27:0.2|Aggaññasutta |dn27
dn28:0.2|Sampasādanīyasutta |dn28
dn29:0.2|Pāsādikasutta |dn29
dn30:0.2|Lakkhaṇasutta |dn30
dn31:0.2|Siṅgālasutta |dn31
dn32:0.2|Āṭānāṭiyasutta |dn32
dn33:0.2|Saṅgītisutta |dn33
dn34:0.2|Dasuttarasutta |dn34
an1.1:1.0|1 |an1.1-10
an1.2:1.0|2 |an1.1-10
an1.3:1.0|3 |an1.1-10
an1.4:1.0|4 |an1.1-10
an1.5:1.0|5 |an1.1-10
an1.6:1.0|6 |an1.1-10
an1.7:1.0|7 |an1.1-10
an1.8:1.0|8 |an1.1-10
an1.9:1.0|9 |an1.1-10
an1.10:1.0|10 |an1.1-10
an1.11:1.0|11 |an1.11-20
an1.12:1.0|12 |an1.11-20
an1.13:1.0|13 |an1.11-20
an1.14:1.0|14 |an1.11-20
an1.15:1.0|15 |an1.11-20
an1.16:1.0|16 |an1.11-20
an1.17:1.0|17 |an1.11-20
an1.18:1.0|18 |an1.11-20
an1.19:1.0|19 |an1.11-20
an1.20:1.0|20 |an1.11-20
an1.21:1.0|21 |an1.21-30
an1.22:1.0|22 |an1.21-30
an1.23:1.0|23 |an1.21-30
an1.24:1.0|24 |an1.21-30
an1.25:1.0|25 |an1.21-30
an1.26:1.0|26 |an1.21-30
an1.27:1.0|27 |an1.21-30
an1.28:1.0|28 |an1.21-30
an1.29:1.0|29 |an1.21-30
an1.30:1.0|30 |an1.21-30
an1.31:1.0|31 |an1.31-40
an1.32:1.0|32 |an1.31-40
an1.33:1.0|33 |an1.31-40
an1.34:1.0|34 |an1.31-40
an1.35:1.0|35 |an1.31-40
an1.36:1.0|36 |an1.31-40
an1.37:1.0|37 |an1.31-40
an1.38:1.0|38 |an1.31-40
an1.39:1.0|39 |an1.31-40
an1.40:1.0|40 |an1.31-40
an1.41:1.0|41 |an1.41-50
an1.42:1.0|42 |an1.41-50
an1.43:1.0|43 |an1.41-50
an1.44:1.0|44 |an1.41-50
an1.45:1.0|45 |an1.41-50
an1.46:1.0|46 |an1.41-50
an1.47:1.0|47 |an1.41-50
an1.48:1.0|48 |an1.41-50
an1.49:1.0|49 |an1.41-50
an1.50:1.0|50 |an1.41-50
an1.51:1.0|51 |an1.51-60
an1.52:1.0|52 |an1.51-60
an1.53:1.0|53 |an1.51-60
an1.54:1.0|54 |an1.51-60
an1.55:1.0|55 |an1.51-60
an1.56:1.0|56 |an1.51-60
an1.57:1.0|57 |an1.51-60
an1.58:1.0|58 |an1.51-60
an1.59:1.0|59 |an1.51-60
an1.60:1.0|60 |an1.51-60
